"Pied Piper ","Silicon Valley ","Cloud Computing ","6 ","5000000 ","50000000 ","2014 ","A ","Richard Hendricks ","A Middle-Out Compression Solution",
"BackPax ","New York ","Education ","2 ","80000 ","14000000 ","2017 ","Seed ","Jose Ferreira ","MOOCs are Boo Hoo",
"CapitalPunishment ","New York ","Mobile ","15 ","500000 ","10000000 ","2008 ","A ","Cole Romano ","Stock Market Brawler Game",
"Son of a Fletch ","New York ","Social ","4 ","300000 ","3000000 ","2014 ","Seed ","CC Vaught ","Social Media App for Archery Enthusiasts",
"Yas Queen ","New York ","Health Care ","300 ","45000000 ","980000000 ","2015 ","A ","Jamie Brieman ","Accelerating Breast Cancer Research",
"Geocities-Lite ","New York ","Social ","20 ","1000000 ","50000000 ","2012 ","A ","Jim Jason ","Mobile Friendly Geocities",
"Cluster.ly ","New York ","Big Data Analytics ","10 ","750000 ","15000000 ","2015 ","B ","Hillary Limegreen ","",
"Codefellas ","New York ","Education ","50 ","50000000 ","10000000000 ","2012 ","A ","Zane Sims ","The Not So Easy Way to Learn to Code",
""kryptoPark ","Palo Alto ","Security ","70 ","75000000 ","10000000000 ","2011 ","B ","Joe Wang ","Password Mgmt for Password Mgmt Services",
"zZz ","Palo Alto ","SaaS ","20 ","50000000 ","800000000 ","2008 ","C ","Henry Campbell ","Dream Tracking/Recording",
"Pita Pan ","Palo Alto ","Technology ","40 ","30000000 ","5500000000 ","2015 ","B ","Schuylar Croom ","Drone Food Delivery Service",
"nova.ai ","Palo Alto ","Enterprise ","340 ","3000000 ","25000000 ","2013 ","A ","Nick Kinsella ","",
"XNA ","Palo Alto ","Health Care ","250 ","540000000 ","760000000000 ","2012 ","C ","Owen Pilsner ","Genome Database",
"Cloud Nine ","Palo Alto ","Cloud Computing ","35 ","36000000 ","140000000 ","2013 ","A ","Jase Farmer ","",
"Scramptons ","Long Island ","Security ","5 ","200000 ","8000000000 ","2017 ","Seed ","Henri Bernard ","Home Security",
"Carcheesian Plane ","Paris ","Education ","30 ","3000000 ","50000000 ","2012 ","A ","Jim Mussen ","A Gouda Place to Learn Math",
"Dungees and Dragos ","Atlanta ","Games ","3 ","300000 ","1600000 ","2014 ","Seed ","Stuart Stickler ","Tabletop Gaming for the Insufferable",
"VaporWear ","Virginia Beach ","Social ","15 ","450000 ","14000000 ","2017 ","Seed ","TJ Harris ","Social Network for Vaping Enthusiasts",
"RICE Media ","Brooklyn ","Video Streaming ","3000 ","730000000 ","","1994 ","","Shayna Craftsman ","2cool4school",
"Townie666 ","Brooklyn ","","2 ","20000 ","80000 ","2017 ","Seed ","Sonny Li ","*_*",
"Kimberly ","Brooklyn ","","2 ","100000 ","8500000 ","2018 ","Seed ","Jillian Kuzmin ","Synthetic Diamonds",
"Wakeful ","Brooklyn ","Virtual Reality ","3 ","30000 ","1800000 ","2016 ","Seed ","Maria Epstein ","Meditation VR App",
"MLGB ","Columbus ","E-commerce ","2 ","50000 ","500000 ","2012 ","Seed ","Xin Xin ","Authentic Streetwear or DDoS'ed",
"PostGurt ","Savannah ","Social ","6 ","550000 ","200000000 ","2013 ","Seed ","Lauretta Brieman ","Subscription Based Yogurt in the Mail",
"Virtual Tour ","Chicago ","E-commerce ","12 ","750000 ","120000000 ","2014 ","Seed ","Ari L'Boy ","Real Estate for Fake People",
"Eärendil ","Los Angeles ","Mobile ","2 ","50000 ","200000 ","2009 ","Seed ","Kent Bergensen ","Flashlight App",
"QT ","Los Angeles ","Social ","3 ","1500000 ","4500000 ","2018 ","Seed ","Keiko ","Who Can Be More Kawaii (づ｡◕‿‿◕｡)づ",
"LiftHub ","Los Angeles ","Fitness ","30 ","2350000 ","15000000 ","2015 ","A ","Mike McManus ","Eat Clean. Train Dirty.",
"Napflix ","Los Angeles ","Mobile ","1 ","","","2016 ","Stealth ","Reed Samson ","Bootleg Netflix Shows",
"CyShare ","Seattle ","Social ","11 ","300000 ","10000000 ","2015 ","B ","Cathy Zhou ","Bicycle Sharing Service",
"FizzyWillow ","Seattle ","Social ","6 ","2000000 ","120000000 ","2014 ","C ","Sandra Emmerson ","Sparkling Wine Review App",
"Q Green ","Seattle ","Nanotechnology ","12 ","3600000 ","150000000 ","2013 ","A ","Quan Li ","",
"Friend, Where Is My Vehicle ","Washington DC ","SaaS ","8 ","1800000 ","2000000 ","2016 ","A ","Roland Tavurner ","GPS Services",
"Allniter ","New Delhi ","Education ","250 ","1000000 ","15000000 ","2009 ","A ","Rohan Taneja ","Homework/Essay Help",
"Gnome Reverser ","Denver ","Mobile ","10 ","1500000 ","10000000 ","2014 ","A ","Bruce Dzeda ","Location Service to Find Your Keys/Wallet",
"ScoopAble ","Denver ","Social ","14 ","1000000 ","7600000 ","2016 ","Seed ","Zoe Gfell ","Yogurt Finder",
"YoBert ","New York ","Education ","31 ","800000 ","40000000 ","2016 ","Acquired ","Ernie Dzeda ","Seasme Street Themed Educational App",
"Trufflez ","New York ","Mobile ","23 ","1000000 ","12000000 ","2014 ","Seed ","","AI Suggests Recipes Based on Photos",
"Unfade ","New York ","Fashion ","4 ","400000 ","5600000 ","2016 ","A ","Peggy Grimes ","Everything Hair",
"OrangeYouLonely ","Minneapolis ","Social ","20 ","1200000 ","14000000 ","2012 ","Seed ","Gus Dawson ","Dating App for Farmers",
"WellDeserved ","San Francisco ","E-commerce ","4 ","","","2015 ","Seed ","Kasima Tharnpipitchai ","The Premiere Marketplace for Privilege","",
